	mz	charged_formula	selectivity	neutral_formula_mass	ion_relation
C5(C13)H10O3S_81.518684	81.518684	C5(C13)H10O3S		C6H8O3S_160.019415	M(C13)+2H[2+]
C26(C13)H43NO_398.337316	398.337316	C26(C13)H43NO		C27H43NO_397.334465	M(C13)[1+]
C22H43NO4_385.31866	385.31866	C22H43NO4		C22H43NO4_385.319209	M[1+]
C18H18ClN4NaO2_381.10885	381.10885	C18H18ClN4NaO2		C17H17ClN4_312.114174	M+HCOONa[1+]
C62H120NO18_388.949632	388.949632	C62H120NO18		C62H117NO18_1163.827066	M+3H[3+]
C10H13N2O3_209.092068	209.092068	C10H13N2O3		C10H12N2O3_208.084792	M+H[1+]
C16(C13)H22N4O_299.182212	299.182212	C16(C13)H22N4O		C17H22N4O_298.179361	M(C13)[1+]
C14H27O_211.205606	211.205606	C14H27O		C14H28O2_228.20893	M-H2O+H[1+]
C11(C13)H19NO2_105.071941	105.071941	C11(C13)H19NO2		C12H17NO2_207.125929	M(C13)+2H[2+]
C13H25N2O5_289.175827	289.175827	C13H25N2O5		C14H24N2O7_332.158351	M-CO2+H[1+]
H4N2O3S_111.993714	111.993714	H4N2O3S		H4N2O3S_111.994263	M[1+]
C19H37O4_329.26855	329.26855	C19H37O4		C20H36O5_356.256274	M-CO+H[1+]
C16H16N5_278.139936	278.139936	C16H16N5		C17H15N5O_305.12766	M-CO+H[1+]
C3H5Cl2NO_140.97427	140.97427	C3H5Cl2NO		C3H5Cl2NO_140.974819	M[1+]
C4H8NaO2_111.041706	111.041706	C4H8NaO2		C4H8O2_88.05243	M+Na[1+]
C19H36NO4_342.263885	342.263885	C19H36NO4		C19H35NO4_341.256609	M+H[1+]
C25H48N2O3_424.365944	424.365944	C25H48N2O3		C25H47N2O3_423.358668	M+H[1+]
C11H23O10_315.128488	315.128488	C11H23O10		C12H22O11_342.116212	M-CO+H[1+]
C2H9OS3_144.981038	144.981038	C2H9OS3		C2H6S3_125.963162	M+H2O+H[1+]
C5(C13)H11NO5S2_242.010715	242.010715	C5(C13)H11NO5S2		C6H11NO5S2_241.007864	M(C13)[1+]
C21H19N2O3_347.139098	347.139098	C21H19N2O3		C22H20N2O5_392.137222	M-HCOOH+H[1+]
C16H20NO_242.15394	242.15394	C16H20NO		C16H19NO_241.146664	M+H[1+]
C2(C13)H5N3O9_228.00543	228.00543	C2(C13)H5N3O9		C3H5N3O9_227.002579	M(C13)[1+]
C13H14ClN4NaO2_317.07755	317.07755	C13H14ClN4NaO2		C12H13ClN4_248.082874	M+HCOONa[1+]
C5H13ClN2O2P_199.039768	199.039768	C5H13ClN2O2P		C5H12ClN2O2P_198.032492	M+H[1+]
C16(C13)H25O_82.064031	82.064031	C16(C13)H25O		C17H22O_242.167065	M(C13)+3H[3+]
C47(C13)H93NO7P_275.890173	275.890173	C47(C13)H93NO7P		C48H90NO7P_823.645491	M(C13)+3H[3+]
C4H10KO_113.035941	113.035941	C4H10KO		C4H10O_74.073165	M+K[1+]
C4H14NO7S4_315.964798	315.964798	C4H14NO7S4		C4H11NO6S4_296.946922	M+H2O+H[1+]
C12H15(S34)N4O3_297.081737	297.081737	C12H15(S34)N4O3		C12H14N4O3S_294.078661	M(S34)+H[1+]
C4H4N_66.033874	66.033874	C4H4N		C4H6N2_82.053098	M-NH3+H[1+]
C3H9KNO_114.03119	114.03119	C3H9KNO		C3H9NO_75.068414	M+K[1+]
C14H22NO4_268.154332	268.154332	C14H22NO4		C14H18O4_250.120509	M+NH4[1+]
C14H24NO3_254.175105	254.175105	C14H24NO3		C14H21NO2_235.157229	M+H2O+H[1+]
C14H17NaO10_184.03545	184.03545	C14H17NaO10		C14H16O10_344.074347	M+H+Na[2+]
C24H50NNaO6P_502.326851	502.326851	C24H50NNaO6P		C24H50NO6P_479.337575	M+Na[1+]
C11H20NO4_230.138684	230.138684	C11H20NO4		C11H19NO4_229.131408	M+H[1+]
C14H9O2S_241.031706	241.031706	C14H9O2S		C14H12O4S_276.04563	M-H4O2+H[1+]
C14H21N6O4_337.161844	337.161844	C14H21N6O4		C14H22N6O5_354.165168	M-H2O+H[1+]
C2H7KNO3S_163.97744	163.97744	C2H7KNO3S		C2H7NO3S_125.014664	M+K[1+]
C14H26NO6_304.175464	304.175464	C14H26NO6		C14H25NO6_303.168188	M+H[1+]
C10H5F16INa_578.907326	578.907326	C10H5F16INa		C10H5F16I_555.91805	M+Na[1+]
