	mz	charged_formula	selectivity	neutral_formula_mass	ion_relation
C30H33N2NaO2_238.121465	238.121465	C30H33N2NaO2		C30H32N2O2_452.246378	M+H+Na[2+]
C64(C13)H129O17P2_414.957352	414.957352	C64(C13)H129O17P2		C65H126O17P2_1240.847027	M(C13)+3H[3+]
C22H22ClO3_123.041367	123.041367	C22H22ClO3		C22H19ClO3_366.102272	M+3H[3+]
C14H12N_194.096474	194.096474	C14H12N		C14H14N2_210.115698	M-NH3+H[1+]
C15H9I4O7S_840.624272	840.624272	C15H9I4O7S		C15H11I4NO7S_856.643496	M-NH3+H[1+]
C5H8NaO5_171.026449	171.026449	C5H8NaO5		C5H8O5_148.037173	M+Na[1+]
C13H15INO_328.019198	328.019198	C13H15INO		C14H14INO2_355.006922	M-CO+H[1+]
C2(C13)H8NO_75.06344	75.06344	C2(C13)H8NO		C3H7NO_73.052764	M(C13)+H[1+]
C4H10ClNaO2_149.033956	149.033956	C4H10ClNaO2		C4H10O2_90.06808	M+NaCl[1+]
C10H16KN2O3S_283.050939	283.050939	C10H16KN2O3S		C10H16N2O3S_244.088163	M+K[1+]
C8H13Cl3O7_162.985794	162.985794	C8H13Cl3O7		C8H11Cl3O7_323.957036	M+2H[2+]
C16H29O_237.221256	237.221256	C16H29O		C16H30O2_254.22458	M-H2O+H[1+]
C6H5(Cl37)Cl_148.973482	148.973482	C6H5(Cl37)Cl		C6H4Cl2_145.969006	M(Cl37)+H[1+]
C28H53NO7P_546.355416	546.355416	C28H53NO7P		C28H52NO7P_545.34814	M+H[1+]
C42H82NO7P_743.582341	743.582341	C42H82NO7P		C42H82NO7P_743.58289	M[1+]
C18H31O_263.236906	263.236906	C18H31O		C18H32O2_280.24023	M-H2O+H[1+]
C5H9N2O3_145.060803	145.060803	C5H9N2O3		C5H6N2O2_126.042927	M+H2O+H[1+]
C4H5N3NaO2_150.027452	150.027452	C4H5N3NaO2		C4H5N3O2_127.038176	M+Na[1+]
C11H19N2O4_243.133968	243.133968	C11H19N2O4		C11H16N2O3_224.116092	M+H2O+H[1+]
C13H18N5_244.155701	244.155701	C13H18N5		C16H21N5O2_315.169525	M-C3H4O2+H[1+]
C3H4NaO3S_142.977391	142.977391	C3H4NaO3S		C3H4O3S_119.988115	M+Na[1+]
C9H11N2S_179.063674	179.063674	C9H11N2S		C9H14N2O2S_214.077598	M-H4O2+H[1+]
C2H6KOS_116.976712	116.976712	C2H6KOS		C2H6OS_78.013936	M+K[1+]
C5(C13)H10NO_113.07909	113.07909	C5(C13)H10NO		C6H9NO_111.068414	M(C13)+H[1+]
C36H72NO6_614.535413	614.535413	C36H72NO6		C36H68O6_596.50159	M+NH4[1+]
C11(C13)H17NO5_128.056488	128.056488	C11(C13)H17NO5		C12H15NO5_253.095023	M(C13)+2H[2+]
C6H6(Cl37)O5_194.987027	194.987027	C6H6(Cl37)O5		C6H5ClO5_191.982551	M(Cl37)+H[1+]
C6H13N2O4S2_241.031124	241.031124	C6H13N2O4S2		C6H12N2O4S2_240.023848	M+H[1+]
C18H11NNaO8S2_455.981884	455.981884	C18H11NNaO8S2		C18H11NO8S2_432.992608	M+Na[1+]
C4H4N3_94.039938	94.039938	C4H4N3		C4H5N3O_111.043262	M-H2O+H[1+]
C3H4ClF3O_147.989728	147.989728	C3H4ClF3O		C3H4ClF3O_147.990277	M[1+]
C4H10N2Na_109.073674	109.073674	C4H10N2Na		C4H10N2_86.084398	M+Na[1+]
C21H31O2_315.231856	315.231856	C21H31O2		C21H30O2_314.22458	M+H[1+]
C14H18N4_121.076025	121.076025	C14H18N4		C14H16N4_240.137497	M+2H[2+]
C14H19O_203.143041	203.143041	C14H19O		C14H18O_202.135765	M+H[1+]
C6H11ClNNaOS2_235.994081	235.994081	C6H11ClNNaOS2		C6H11NOS2_177.028205	M+NaCl[1+]
C5(C13)H8O7_96.514653	96.514653	C5(C13)H8O7		C6H6O7_190.011353	M(C13)+2H[2+]
C5H6N2O2_126.042378	126.042378	C5H6N2O2		C5H6N2O2_126.042927	M[1+]
C5H3ClN2O4_189.977585	189.977585	C5H3ClN2O4		C5H3ClN2O4_189.978134	M[1+]
C7H16NO_130.122638	130.122638	C7H16NO		C7H12O_112.088815	M+NH4[1+]
C7H13N3O4PS_266.035918	266.035918	C7H13N3O4PS		C8H12N3O6PS_309.018442	M-CO2+H[1+]
C6H6Cl2N_161.987181	161.987181	C6H6Cl2N		C6H5Cl2N_160.979905	M+H[1+]
CH2Cl2F_102.95121	102.95121	CH2Cl2F		CHCl2F_101.943934	M+H[1+]
C14H23N2NaO2_137.08234	137.08234	C14H23N2NaO2		C14H22N2O2_250.168128	M+H+Na[2+]
C6H11Br2N2O3_316.913126	316.913126	C6H11Br2N2O3		C6H8Br2N2O2_297.89525	M+H2O+H[1+]
C23H34N3O3_400.259383	400.259383	C23H34N3O3		C24H33N3O4_427.247107	M-CO+H[1+]
C10H21N3O2_215.162828	215.162828	C10H21N3O2		C10H21N3O2_215.163377	M[1+]
C4H8KN2O3_171.016268	171.016268	C4H8KN2O3		C4H8N2O3_132.053492	M+K[1+]
C15(C13)H21ClN3_291.145251	291.145251	C15(C13)H21ClN3		C16H20ClN3_289.134575	M(C13)+H[1+]
C5H13BO_100.105396	100.105396	C5H13BO		C5H13BO_100.105945	M[1+]
C10H14N4O5S_151.033696	151.033696	C10H14N4O5S		C10H12N4O5S_300.05284	M+2H[2+]
C13H22NNaO6S_171.552755	171.552755	C13H22NNaO6S		C13H21NO6S_319.108958	M+H+Na[2+]
C8H11O_123.080441	123.080441	C8H11O		C8H10O_122.073165	M+H[1+]
C43H67N5O10_406.743848	406.743848	C43H67N5O10		C43H65N5O10_811.473143	M+2H[2+]
C3H11KNO7P2_273.963851	273.963851	C3H11KNO7P2		C3H11NO7P2_235.001075	M+K[1+]
C2H3N3NaOS_139.988959	139.988959	C2H3N3NaOS		C2H3N3OS_116.999683	M+Na[1+]
C18H30NaO6_365.193515	365.193515	C18H30NaO6		C18H30O6_342.204239	M+Na[1+]
C4H5KO5S_204.956691	204.956691	C4H5KO5S		C3H4O3S_119.988115	M+HCOOK[1+]
C15H20NO3_262.143805	262.143805	C15H20NO3		C15H17NO2_243.125929	M+H2O+H[1+]
C5H5ClN3NaO_182.009138	182.009138	C5H5ClN3NaO		C5H5N3O_123.043262	M+NaCl[1+]
C2H6AsNaO5_208.940141	208.940141	C2H6AsNaO5		CH5AsO3_139.945465	M+HCOONa[1+]
C11H20N_166.159024	166.159024	C11H20N		C11H16_148.125201	M+NH4[1+]
C40H83NO7P_720.590202	720.590202	C40H83NO7P		C40H80NO6P_701.572326	M+H2O+H[1+]
C36H74N2O2_566.574481	566.574481	C36H74N2O2		C36H74N2O2_566.57503	M[1+]
C11H19N2O_195.149187	195.149187	C11H19N2O		C11H15NO_177.115364	M+NH4[1+]
C25(C13)H52NO6P_506.356076	506.356076	C25(C13)H52NO6P		C26H52NO6P_505.353225	M(C13)[1+]
C5H3ClNO_127.989797	127.989797	C5H3ClNO		C8H6ClNO3_199.003621	M-C3H4O2+H[1+]
C4(C13)H8NO2_115.058354	115.058354	C4(C13)H8NO2		C5H7NO2_113.047678	M(C13)+H[1+]
C21H39NNaO4_392.277185	392.277185	C21H39NNaO4		C21H39NO4_369.287909	M+Na[1+]
C13H20NO3_238.143805	238.143805	C13H20NO3		C13H17NO2_219.125929	M+H2O+H[1+]
C4H5FN3NaO_76.515196	76.515196	C4H5FN3NaO		C4H4FN3O_129.03384	M+H+Na[2+]
C12H26NO_200.200888	200.200888	C12H26NO		C12H22O_182.167065	M+NH4[1+]
C6H18N3O3_180.134265	180.134265	C6H18N3O3		C6H14N2O3_162.100442	M+NH4[1+]
C9H18NO2_172.133205	172.133205	C9H18NO2		C9H17NO2_171.125929	M+H[1+]
C6H4BrCl2O2S_288.848696	288.848696	C6H4BrCl2O2S		C6H3BrCl2O2S_287.84142	M+H[1+]
C18H26NS_288.177961	288.177961	C18H26NS		C19H25NOS_315.165685	M-CO+H[1+]
C6H12NO2_130.086255	130.086255	C6H12NO2		C6H11NO2_129.078979	M+H[1+]
C4H10NaO4S4_272.935468	272.935468	C4H10NaO4S4		C4H10O4S4_249.946192	M+Na[1+]
C7H9FN3OS_202.044566	202.044566	C7H9FN3OS		C8H10FN3O3S_247.04269	M-HCOOH+H[1+]
C4H10KN2O2_157.037004	157.037004	C4H10KN2O2		C4H10N2O2_118.074228	M+K[1+]
C4H7(S34)O4S_184.973826	184.973826	C4H7(S34)O4S		C4H6O4S2_181.97075	M(S34)+H[1+]
C50H79KO4_783.568758	783.568758	C50H79KO4		C49H78O2_698.600182	M+HCOOK[1+]
C7H15NNaO3_184.094469	184.094469	C7H15NNaO3		C7H15NO3_161.105193	M+Na[1+]
C4H8N3O2_130.061138	130.061138	C4H8N3O2		C4H5N3O_111.043262	M+H2O+H[1+]
C6H11S7_306.890021	306.890021	C6H11S7		C6H10S7_305.882745	M+H[1+]
C25H42NNaO4_444.308406	444.308406	C25H42NNaO4		C24H41NO2_375.31373	M+HCOONa[1+]
C3H4O6S_167.97231	167.97231	C3H4O6S		C3H4O6S_167.972859	M[1+]
C7H6KO7S_272.9462	272.9462	C7H6KO7S		C7H6O7S_233.983424	M+K[1+]
C2(C13)H7NO2Se_169.967051	169.967051	C2(C13)H7NO2Se		C3H7NO2Se_168.9642	M(C13)[1+]
C6H5O4S_172.990354	172.990354	C6H5O4S		C6H7NO4S_189.009578	M-NH3+H[1+]
C5H4NO2_110.023703	110.023703	C5H4NO2		C5H6N2O2_126.042927	M-NH3+H[1+]
C6H8O5_160.036624	160.036624	C6H8O5		C6H8O5_160.037173	M[1+]
C21H31O3_331.226771	331.226771	C21H31O3		C21H30O3_330.219495	M+H[1+]
C44H81NO8P_782.569431	782.569431	C44H81NO8P		C44H80NO8P_781.562155	M+H[1+]
C6H16NO5_182.102296	182.102296	C6H16NO5		C6H12O5_164.068473	M+NH4[1+]
C5H3N4O2_151.0251	151.0251	C5H3N4O2		C5H5N5O2_167.044324	M-NH3+H[1+]
C5H6N3_108.055653	108.055653	C5H6N3		C8H9N3O2_179.069477	M-C3H4O2+H[1+]
C19(C13)H28N5O2_371.227151	371.227151	C19(C13)H28N5O2		C20H27N5O2_369.216475	M(C13)+H[1+]
C5H8NaO4_155.031535	155.031535	C5H8NaO4		C5H8O4_132.042259	M+Na[1+]
C16H8NO8S2_405.968633	405.968633	C16H8NO8S2		C16H10N2O8S2_421.987857	M-NH3+H[1+]
C38H67O6_619.493251	619.493251	C38H67O6		C38H64O5_600.475375	M+H2O+H[1+]
C9H13N4O3S_257.070202	257.070202	C9H13N4O3S		C10H12N4O4S_284.057926	M-CO+H[1+]
C12H15ClNNaO4PS2_389.97614	389.97614	C12H15ClNNaO4PS2		C12H15ClNO4PS2_366.986864	M+Na[1+]
C44(C13)H76O18_452.752734	452.752734	C44(C13)H76O18		C45H74O18_902.487516	M(C13)+2H[2+]
C27H29Cl2O6_519.133535	519.133535	C27H29Cl2O6		C27H30Cl2O7_536.136859	M-H2O+H[1+]
C27H45O_385.346492	385.346492	C27H45O		C27H44O_384.339216	M+H[1+]
C7H4ClN2OS_198.972666	198.972666	C7H4ClN2OS		C7H7ClN2O3S_233.98659	M-H4O2+H[1+]
C3H8N3O2_118.061102	118.061102	C3H8N3O2		C3H7N3O2_117.053826	M+H[1+]
C46H92NO11S_288.879154	288.879154	C46H92NO11S		C46H89NO11S_863.615633	M+3H[3+]
C21H31NaO4_371.219256	371.219256	C21H31NaO4		C20H30O2_302.22458	M+HCOONa[1+]
C41H77NO8P_742.53816	742.53816	C41H77NO8P		C42H76NO10P_785.520684	M-CO2+H[1+]
C21H35O5_367.2479	367.2479	C21H35O5		C21H34O5_366.240624	M+H[1+]
C5H13N2S_133.079393	133.079393	C5H13N2S		C5H9NS_115.04557	M+NH4[1+]
C37H54O3_546.406747	546.406747	C37H54O3		C37H54O3_546.407296	M[1+]
C8H10Cl5OSi_324.893841	324.893841	C8H10Cl5OSi		C8H7Cl5Si_305.875965	M+H2O+H[1+]
C9H17NaO5_229.10462	229.10462	C9H17NaO5		C8H16O3_160.109944	M+HCOONa[1+]
C3H7NaO4S2_194.975597	194.975597	C3H7NaO4S2		C2H6O2S2_125.980921	M+HCOONa[1+]
C6H10NNaO4_184.058005	184.058005	C6H10NNaO4		C5H9NO2_115.063329	M+HCOONa[1+]
C3H8NNaO5S_194.00934	194.00934	C3H8NNaO5S		C2H7NO3S_125.014664	M+HCOONa[1+]
C57(C13)H96O6_444.861497	444.861497	C57(C13)H96O6		C58H94O6_886.705041	M(C13)+2H[2+]
C28H30FN4_441.244866	441.244866	C28H30FN4		C28H31FN4O_458.24819	M-H2O+H[1+]
C19H23N2Na_151.087426	151.087426	C19H23N2Na		C19H22N2_278.178299	M+H+Na[2+]
C3N2NaO_102.990339	102.990339	C3N2NaO		C3N2O_80.001063	M+Na[1+]
C12H11F17NO4S_196.004029	196.004029	C12H11F17NO4S		C12H8F17NO4S_584.990258	M+3H[3+]
C6H2Cl3N3Na_243.920706	243.920706	C6H2Cl3N3Na		C6H2Cl3N3_220.93143	M+Na[1+]
C3H4O4_104.01041	104.01041	C3H4O4		C3H4O4_104.010959	M[1+]
C6H11O_99.080441	99.080441	C6H11O		C6H10O_98.073165	M+H[1+]
C17H24NO2_274.18019	274.18019	C17H24NO2		C17H21NO_255.162314	M+H2O+H[1+]
C14H24N_206.190355	206.190355	C14H24N		C15H23NO2_249.172879	M-CO2+H[1+]
C13H28NO2_230.211484	230.211484	C13H28NO2		C16H31NO4_301.225308	M-C3H4O2+H[1+]
H7O5Se_166.945356	166.945356	H7O5Se		H4O4Se_147.92748	M+H2O+H[1+]
C9H11NaO6S_271.024656	271.024656	C9H11NaO6S		C8H10O4S_202.02998	M+HCOONa[1+]
C10H13N3O_191.105313	191.105313	C10H13N3O		C10H13N3O_191.105862	M[1+]
C26H50KNO6_512.334735	512.334735	C26H50KNO6		C25H49NO4_427.366159	M+HCOOK[1+]
C3H5FN3_102.046116	102.046116	C3H5FN3		C4H4FN3O_129.03384	M-CO+H[1+]
C14H11MgNaO6_161.014666	161.014666	C14H11MgNaO6		C14H10MgO6_298.03278	M+H+Na[2+]
C15(C13)H25O4_94.058946	94.058946	C15(C13)H25O4		C16H22O4_278.151809	M(C13)+3H[3+]
C22H27NNaO3_188.093911	188.093911	C22H27NNaO3		C22H26NO3_352.191269	M+H+Na[2+]
C29(C13)H24O13S_312.548032	312.548032	C29(C13)H24O13S		C30H22O13S_622.078112	M(C13)+2H[2+]
C2H6FO2S_113.006705	113.006705	C2H6FO2S		C2H5FO2S_111.999429	M+H[1+]
C12H5Br5ClNaO_618.591604	618.591604	C12H5Br5ClNaO		C12H5Br5O_559.625728	M+NaCl[1+]
C6H7O2_111.044055	111.044055	C6H7O2		C6H6O2_110.036779	M+H[1+]
C21(C13)H33O4_362.240736	362.240736	C21(C13)H33O4		C22H32O4_360.23006	M(C13)+H[1+]
C8(C13)H6N2O3_191.040693	191.040693	C8(C13)H6N2O3		C9H6N2O3_190.037842	M(C13)[1+]
C9H16ClN3O2_233.092555	233.092555	C9H16ClN3O2		C9H16ClN3O2_233.093104	M[1+]
C23H22(Cl37)O3_383.122398	383.122398	C23H22(Cl37)O3		C23H21ClO3_380.117922	M(Cl37)+H[1+]
C10H10ClNaO6S_316.985685	316.985685	C10H10ClNaO6S		C10H10O6S_258.019809	M+NaCl[1+]
C(C13)H5O5P_140.990311	140.990311	C(C13)H5O5P		C2H5O5P_139.98746	M(C13)[1+]
C14(C13)H16N5_89.047375	89.047375	C14(C13)H16N5		C15H13N5_263.117095	M(C13)+3H[3+]
C16H21N2Na_132.079601	132.079601	C16H21N2Na		C16H20N2_240.162649	M+H+Na[2+]
C9H11N2O3_195.076418	195.076418	C9H11N2O3		C9H10N2O3_194.069142	M+H[1+]
C11H12NO2_190.086255	190.086255	C11H12NO2		C11H11NO2_189.078979	M+H[1+]
C2(C13)H13NO7P2_119.009514	119.009514	C2(C13)H13NO7P2		C3H11NO7P2_235.001075	M(C13)+2H[2+]
C5H12ClNa_131.059776	131.059776	C5H12ClNa		C5H12_72.0939	M+NaCl[1+]
C4H5OS2_132.977597	132.977597	C4H5OS2		C4H6O2S2_149.980921	M-H2O+H[1+]
C4H6KO4S2_220.933526	220.933526	C4H6KO4S2		C4H6O4S2_181.97075	M+K[1+]
C12H20F3N2_249.157307	249.157307	C12H20F3N2		C12H16F3N_231.123484	M+NH4[1+]
C13H21N6O4_325.161879	325.161879	C13H21N6O4		C13H20N6O4_324.154603	M+H[1+]
C6H18O21P5_580.902316	580.902316	C6H18O21P5		C6H17O21P5_579.89504	M+H[1+]
C12H17NaO7S_164.029113	164.029113	C12H17NaO7S		C12H16O7S_304.061674	M+H+Na[2+]
C15H30NO2Si_284.204067	284.204067	C15H30NO2Si		C15H27NOSi_265.186191	M+H2O+H[1+]
C7H14NNaO3_91.543048	91.543048	C7H14NNaO3		C7H13NO3_159.089543	M+H+Na[2+]
C33H43O13_647.269782	647.269782	C33H43O13		C33H44O14_664.273106	M-H2O+H[1+]
C17H16Cl3N4O8S2_572.947	572.947	C17H16Cl3N4O8S2		C17H13Cl3N4O7S2_553.929124	M+H2O+H[1+]
C4H11O_75.080441	75.080441	C4H11O		C4H10O_74.073165	M+H[1+]
C10H20N_154.159024	154.159024	C10H20N		C10H16_136.125201	M+NH4[1+]
C6H9O2S_145.031805	145.031805	C6H9O2S		C7H8O4S_188.014329	M-CO2+H[1+]
C9H19N2_155.154354	155.154354	C9H19N2		C10H20N2O2_200.152478	M-HCOOH+H[1+]
C3(C13)H10N3O2_133.080153	133.080153	C3(C13)H10N3O2		C4H9N3O2_131.069477	M(C13)+H[1+]
C11H17N4S_237.116841	237.116841	C11H17N4S		C11H13N3S_219.083018	M+NH4[1+]
C2H10NO3S_128.037625	128.037625	C2H10NO3S		C2H7NO2S_109.019749	M+H2O+H[1+]
C3(C13)H7NO4_134.040359	134.040359	C3(C13)H7NO4		C4H7NO4_133.037508	M(C13)[1+]
C20H17Cl3N2OS_219.00581	219.00581	C20H17Cl3N2OS		C20H15Cl3N2OS_435.997067	M+2H[2+]
C12H4Cl3O3S_332.894053	332.894053	C12H4Cl3O3S		C12H7Cl3O5S_367.907977	M-H4O2+H[1+]
C21(C13)H44O4_186.663131	186.663131	C21(C13)H44O4		C22H42O4_370.30831	M(C13)+2H[2+]
C43H74O5_335.276264	335.276264	C43H74O5		C43H72O5_668.537975	M+2H[2+]
C18H26NaO2_297.182556	297.182556	C18H26NaO2		C18H26O2_274.19328	M+Na[1+]
C14H22N5O4_108.055178	108.055178	C14H22N5O4		C14H19N5O4_321.143704	M+3H[3+]
C13H16F2N7O_324.137888	324.137888	C13H16F2N7O		C13H12F2N6O_306.104065	M+NH4[1+]
C5H10NO2S_148.04264	148.04264	C5H10NO2S		C5H11NO3S_165.045964	M-H2O+H[1+]
C64(C13)H125O5_328.984752	328.984752	C64(C13)H125O5		C65H122O5_982.929227	M(C13)+3H[3+]
C5H4N4NaO_159.027787	159.027787	C5H4N4NaO		C5H4N4O_136.038511	M+Na[1+]
C9H10NaO4S_237.019256	237.019256	C9H10NaO4S		C9H10O4S_214.02998	M+Na[1+]
C11H23N2O4_247.165269	247.165269	C11H23N2O4		C11H20N2O3_228.147393	M+H2O+H[1+]
H6NO2S_84.011405	84.011405	H6NO2S		C3H9NO4S_155.025229	M-C3H4O2+H[1+]
C6H9ClNNaO6_250.008863	250.008863	C6H9ClNNaO6		C6H9NO6_191.042987	M+NaCl[1+]
C12H7N2_179.060404	179.060404	C12H7N2		C15H10N2O2_250.074228	M-C3H4O2+H[1+]
C11H14NO2_192.101905	192.101905	C11H14NO2		C11H13NO2_191.094629	M+H[1+]
C20H32N5O_358.260051	358.260051	C20H32N5O		C21H31N5O2_385.247775	M-CO+H[1+]
C6H3AsNO3_211.93227	211.93227	C6H3AsNO3		C6H6AsNO5_246.946194	M-H4O2+H[1+]
C2H(Cl37)F5_156.965345	156.965345	C2H(Cl37)F5		C2ClF5_153.960869	M(Cl37)+H[1+]
C7H8IO_234.961436	234.961436	C7H8IO		C7H7IO_233.95416	M+H[1+]
C74(C13)H133N4O37_560.955473	560.955473	C74(C13)H133N4O37		C75H130N4O37_1678.841391	M(C13)+3H[3+]
C9H17N2NaO3PS3_351.003169	351.003169	C9H17N2NaO3PS3		C9H17N2O3PS3_328.013893	M+Na[1+]
C23H47N2NaO3_422.347944	422.347944	C23H47N2NaO3		C23H47N2O3_399.358668	M+Na[1+]
CH3NaO10S2_262.913784	262.913784	CH3NaO10S2		H2O8S2_193.919108	M+HCOONa[1+]
C18H12BrN3O2S_412.982811	412.982811	C18H12BrN3O2S		C18H12BrN3O2S_412.98336	M[1+]
C4H5N4_109.050837	109.050837	C4H5N4		C4H6N4O_126.054161	M-H2O+H[1+]
C28(C13)H47O12_196.102769	196.102769	C28(C13)H47O12		C29H44O12_584.283277	M(C13)+3H[3+]
C9H10IKNO3_345.933313	345.933313	C9H10IKNO3		C9H10INO3_306.970537	M+K[1+]
C11H6KO7S_320.9462	320.9462	C11H6KO7S		C11H6O7S_281.983424	M+K[1+]
C10H9N2O_173.070868	173.070868	C10H9N2O		C10H12N2O3_208.084792	M-H4O2+H[1+]
C17H22ClNaO9_429.092258	429.092258	C17H22ClNaO9		C17H22O9_370.126382	M+NaCl[1+]
C4H7NNaO3_140.031869	140.031869	C4H7NNaO3		C4H7NO3_117.042593	M+Na[1+]
C5H9BrO2_179.978041	179.978041	C5H9BrO2		C5H9BrO2_179.97859	M[1+]
C6H7N2_107.060454	107.060454	C6H7N2		C7H8N2O2_152.058578	M-HCOOH+H[1+]
C11H31N4_73.084409	73.084409	C11H31N4		C11H28N4_216.231397	M+3H[3+]
C17H11N2O_259.086518	259.086518	C17H11N2O		C17H14N2O3_294.100442	M-H4O2+H[1+]
C13H26NO3_244.19072	244.19072	C13H26NO3		C13H25NO3_243.183444	M+H[1+]
C7H5Cl2KO7_310.912155	310.912155	C7H5Cl2KO7		C6H4Cl2O5_225.943579	M+HCOOK[1+]
C24H34O4_193.122306	193.122306	C24H34O4		C24H32O4_384.23006	M+2H[2+]
C24H39O4_391.284321	391.284321	C24H39O4		C24H36O3_372.266445	M+H2O+H[1+]
C6HCl6NaO_322.812879	322.812879	C6HCl6NaO		C6HCl5O_263.847003	M+NaCl[1+]
C31H39BrN5O3_608.223158	608.223158	C31H39BrN5O3		C32H40BrN5O5_653.221282	M-HCOOH+H[1+]
C32H59O6_539.43053	539.43053	C32H59O6		C33H58O7_566.418254	M-CO+H[1+]
C6H6F2IN2O2_302.943656	302.943656	C6H6F2IN2O2		C6H5F2IN2O2_301.93638	M+H[1+]
CHNaO2Si_96.971603	96.971603	CHNaO2Si		Si_27.976927	M+HCOONa[1+]
C20H40NO4_358.29522	358.29522	C20H40NO4		C20H37NO3_339.277344	M+H2O+H[1+]
C5(C13)H10N2O8_119.523009	119.523009	C5(C13)H10N2O8		C6H8N2O8_236.028065	M(C13)+2H[2+]
C7(C13)H8Cl2N4_231.015453	231.015453	C7(C13)H8Cl2N4		C8H8Cl2N4_230.012602	M(C13)[1+]
C15H12Cl2KNO4_379.98526	379.98526	C15H12Cl2KNO4		C14H11Cl2NO2_295.016684	M+HCOOK[1+]
C3H5O6P_167.981825	167.981825	C3H5O6P		C3H5O6P_167.982374	M[1+]
C22H50NO6_424.3633	424.3633	C22H50NO6		C22H47NO5_405.345424	M+H2O+H[1+]
C5H3N4O3_167.019995	167.019995	C5H3N4O3		C8H6N4O5_238.033819	M-C3H4O2+H[1+]
C17H16ClN4NaS_183.033574	183.033574	C17H16ClN4NaS		C17H15ClN4S_342.070595	M+H+Na[2+]
C18H37O2_285.278806	285.278806	C18H37O2		C18H36O2_284.27153	M+H[1+]
C21(C13)H32NO3_359.24107	359.24107	C21(C13)H32NO3		C22H31NO3_357.230394	M(C13)+H[1+]
C5H13O2S3_201.007253	201.007253	C5H13O2S3		C5H10OS3_181.989377	M+H2O+H[1+]
C9H17O2_157.122306	157.122306	C9H17O2		C9H16O2_156.11503	M+H[1+]
C29(C13)H61NO7P_193.14004	193.14004	C29(C13)H61NO7P		C30H58NO7P_575.39509	M(C13)+3H[3+]
C11H15N2O5_255.097548	255.097548	C11H15N2O5		C11H14N2O5_254.090272	M+H[1+]
C10H11KN2O3_247.047889	247.047889	C10H11KN2O3		C9H10N2O_162.079313	M+HCOOK[1+]
C6H10O8_210.037018	210.037018	C6H10O8		C6H10O8_210.037567	M[1+]
C18H26N5O3_360.20293	360.20293	C18H26N5O3		C19H25N5O4_387.190654	M-CO+H[1+]
C3H5Br_119.956911	119.956911	C3H5Br		C3H5Br_119.95746	M[1+]
C46H81NO8P_806.569431	806.569431	C46H81NO8P		C46H80NO8P_805.562155	M+H[1+]
C3H2KN2O3_152.969318	152.969318	C3H2KN2O3		C3H2N2O3_114.006542	M+K[1+]
C6H5ClFIN_271.913376	271.913376	C6H5ClFIN		C6H4ClFIN_270.9061	M+H[1+]
C4(C13)H5N4O_138.049187	138.049187	C4(C13)H5N4O		C5H4N4O_136.038511	M(C13)+H[1+]
C11H13Cl2N2NaO_141.01461	141.01461	C11H13Cl2N2NaO		C11H12Cl2N2O_258.032668	M+H+Na[2+]
C32H59O8P_602.394207	602.394207	C32H59O8P		C32H59O8P_602.394756	M[1+]
C22H33NaO2_176.118391	176.118391	C22H33NaO2		C22H32O2_328.24023	M+H+Na[2+]
C11(C13)H14O3_103.548298	103.548298	C11(C13)H14O3		C12H12O3_204.078644	M(C13)+2H[2+]
C5(C13)H11_84.088926	84.088926	C5(C13)H11		C6H10_82.07825	M(C13)+H[1+]
C8H17O3_161.11722	161.11722	C8H17O3		C8H16O3_160.109944	M+H[1+]
C6H7N3O_137.058363	137.058363	C6H7N3O		C6H7N3O_137.058912	M[1+]
C30(C13)H42N3O12S_681.251771	681.251771	C30(C13)H42N3O12S		C31H41N3O12S_679.241095	M(C13)+H[1+]
C28H35FN5O_476.282013	476.282013	C28H35FN5O		C28H31FN4O_458.24819	M+NH4[1+]
C7(C13)H8O3S_185.022266	185.022266	C7(C13)H8O3S		C8H8O3S_184.019415	M(C13)[1+]
C9(C13)H10N3O_189.085238	189.085238	C9(C13)H10N3O		C10H9N3O_187.074562	M(C13)+H[1+]
C3H4NaO2S_126.982477	126.982477	C3H4NaO2S		C3H4O2S_103.993201	M+Na[1+]
C11H12N_158.096505	158.096505	C11H12N		C12H13NO2_203.094629	M-HCOOH+H[1+]
C3H3FN2O2S_149.989378	149.989378	C3H3FN2O2S		C3H3FN2O2S_149.989927	M[1+]
C2H3ClF2NO_129.986574	129.986574	C2H3ClF2NO		C2H2ClF2NO_128.979298	M+H[1+]
C4H7FN3O2_148.051716	148.051716	C4H7FN3O2		C4H4FN3O_129.03384	M+H2O+H[1+]
C12H10O4_109.028406	109.028406	C12H10O4		C12H8O4_216.042259	M+2H[2+]
CH2O5P_124.963485	124.963485	CH2O5P		CH4NO5P_140.982709	M-NH3+H[1+]
CHFeKO2_140.903518	140.903518	CHFeKO2		Fe_55.934942	M+HCOOK[1+]
C10H18OSi_182.112178	182.112178	C10H18OSi		C10H15Si_163.094302	M+H2O+H[1+]
C38(C13)H71O2_190.848987	190.848987	C38(C13)H71O2		C39H68O2_568.521931	M(C13)+3H[3+]
C19H25O2_285.184871	285.184871	C19H25O2		C19H26O3_302.188195	M-H2O+H[1+]
C11H21O4_217.143435	217.143435	C11H21O4		C11H20O4_216.136159	M+H[1+]
C18H35O4_315.253021	315.253021	C18H35O4		C18H34O4_314.24571	M+H[1+]
C48H93KNO8_850.652895	850.652895	C48H93KNO8		C48H93NO8_811.690119	M+K[1+]
